第90届奥斯卡获奖电影合集+颁奖典礼,http://www.llduang.com/91132.html,03-05,3
「网盘搜索引擎」更新2018 01 26,http://www.llduang.com/76388.html,01-25,61
2017年度豆瓣电影榜单汇总,http://www.llduang.com/87808.html,01-10,5
如果你看了还不会，那你就是白痴,http://www.llduang.com/17051.html,09-01,99
两杆大烟枪   豆瓣9.1   1998.BD720P.中英双字,http://www.llduang.com/93593.html,04-20,0
低俗小说   豆瓣8.8    1994.BD720P.中英双字,http://www.llduang.com/93590.html,04-20,0
上帝之城   豆瓣8.9   2002.BD720P,http://www.llduang.com/93587.html,04-20,0
末路狂花   豆瓣8.7   1991.BD720P.国英双语,http://www.llduang.com/93584.html,04-20,0
唐人街探案2      2018.720P.国语中字,http://www.llduang.com/90208.html,04-20,9
诡媚海妖 第一季05/10集,http://www.llduang.com/92858.html,04-20,0
初代吸血鬼 第五季   更新至01/13集,http://www.llduang.com/93570.html,04-20,0
飞虎之潜行极战        更新至18/30集,http://www.llduang.com/93247.html,04-20,2
小谢尔顿  更新至19/22集,http://www.llduang.com/84639.html,04-20,0
一人之下 第二季（含第一季）   更新至20/24集,http://www.llduang.com/82723.html,04-20,2
下一站，别离    更新至09/40集,http://www.llduang.com/93360.html,04-20,0
绿箭侠 第六季（含1~5季）    更新至19/23集,http://www.llduang.com/82332.html,04-20,0
第90届奥斯卡获奖电影合集+颁奖典礼,http://www.llduang.com/91132.html,03-05,3
「网盘搜索引擎」更新2018 01 26,http://www.llduang.com/76388.html,01-25,61
2017年度豆瓣电影榜单汇总,http://www.llduang.com/87808.html,01-10,5
如果你看了还不会，那你就是白痴,http://www.llduang.com/17051.html,09-01,99
两杆大烟枪   豆瓣9.1   1998.BD720P.中英双字,http://www.llduang.com/93593.html,04-20,0
低俗小说   豆瓣8.8    1994.BD720P.中英双字,http://www.llduang.com/93590.html,04-20,0
上帝之城   豆瓣8.9   2002.BD720P,http://www.llduang.com/93587.html,04-20,0
末路狂花   豆瓣8.7   1991.BD720P.国英双语,http://www.llduang.com/93584.html,04-20,0
唐人街探案2      2018.720P.国语中字,http://www.llduang.com/90208.html,04-20,9
诡媚海妖 第一季05/10集,http://www.llduang.com/92858.html,04-20,0
初代吸血鬼 第五季   更新至01/13集,http://www.llduang.com/93570.html,04-20,0
飞虎之潜行极战        更新至18/30集,http://www.llduang.com/93247.html,04-20,2
小谢尔顿  更新至19/22集,http://www.llduang.com/84639.html,04-20,0
一人之下 第二季（含第一季）   更新至20/24集,http://www.llduang.com/82723.html,04-20,2
下一站，别离    更新至09/40集,http://www.llduang.com/93360.html,04-20,0
绿箭侠 第六季（含1~5季）    更新至19/23集,http://www.llduang.com/82332.html,04-20,0
犯罪心理 第十三季（含1~12季）  更新至21/22集,http://www.llduang.com/81464.html,04-20,2
推理的女王2     16集完结,http://www.llduang.com/90840.html,04-20,0
栋仁的时光     更新至04/20集,http://www.llduang.com/93379.html,04-20,0
